epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.7515,1.67623,2.69648,1.46603,0.80988,0.82584,0.90723,0.56656,1.34857,2.54748,1.19638,0.00024293,0.00024293,0.00024293
2,44.0279,1.37789,1.26309,1.2473,0.89746,0.68437,0.74763,0.43072,1.50089,1.77185,1.35739,0.000491898,0.000491898,0.000491898
3,55.1349,1.38454,1.05156,1.26604,0.49979,0.60394,0.55202,0.33922,1.51681,2.17954,1.49854,0.000732377,0.000732377,0.000732377
4,65.9624,1.41623,0.98362,1.29435,0.80262,0.77024,0.86422,0.47568,1.47109,1.12898,1.42919,0.000964368,0.000964368,0.000964368
5,77.2751,1.38661,0.96544,1.28588,0.50663,0.70923,0.57255,0.30423,1.58993,1.88488,1.51825,0.00118787,0.00118787,0.00118787
6,88.785,1.38599,0.88218,1.26726,0.6088,0.6988,0.65915,0.36333,1.51862,1.53338,1.44,0.00131111,0.00131111,0.00131111
7,101.444,1.39253,0.8764,1.26716,0.72415,0.79146,0.87226,0.48828,1.50026,1.72114,1.45222,0.00128753,0.00128753,0.00128753
8,112.552,1.34006,0.8437,1.25462,0.80877,0.80664,0.88097,0.52376,1.39959,1.0715,1.31261,0.00126395,0.00126395,0.00126395
9,123.326,1.32831,0.80501,1.2421,0.89044,0.87521,0.91394,0.54645,1.34951,1.10001,1.26892,0.00124037,0.00124037,0.00124037
10,134.132,1.30779,0.82726,1.22698,0.88439,0.90412,0.95322,0.59047,1.29873,0.81894,1.22668,0.00121679,0.00121679,0.00121679
11,146.435,1.281,0.77192,1.22621,0.77977,0.75524,0.81719,0.50848,1.29287,1.45434,1.21602,0.00119322,0.00119322,0.00119322
12,156.486,1.27687,0.77576,1.25428,0.72953,0.72562,0.83595,0.51292,1.33586,2.6162,1.23784,0.00116964,0.00116964,0.00116964
13,168.015,1.26759,0.73321,1.221,0.88435,0.91338,0.94556,0.5506,1.38285,1.00282,1.21467,0.00114606,0.00114606,0.00114606
14,179.721,1.29268,0.75623,1.25658,0.91315,0.97352,0.95126,0.58709,1.32191,0.68569,1.24559,0.00112248,0.00112248,0.00112248
15,191.307,1.27796,0.7414,1.22266,0.93972,0.97531,0.98451,0.61092,1.2833,0.66491,1.22763,0.0010989,0.0010989,0.0010989
16,202.626,1.23139,0.68978,1.18798,0.92015,0.92367,0.95743,0.58564,1.41226,0.71546,1.283,0.00107532,0.00107532,0.00107532
17,212.593,1.28947,0.69605,1.2249,0.92821,0.95858,0.97264,0.62275,1.35649,0.69967,1.21903,0.00105174,0.00105174,0.00105174
18,225.168,1.22449,0.70147,1.19846,0.96256,0.93854,0.97504,0.62263,1.29512,0.59702,1.18675,0.00102817,0.00102817,0.00102817
19,236.366,1.22563,0.68541,1.19046,0.97775,0.94737,0.98794,0.62771,1.26892,0.5898,1.18098,0.00100459,0.00100459,0.00100459
20,246.773,1.2006,0.64933,1.17199,0.91322,0.94405,0.94976,0.61673,1.26677,0.74612,1.16632,0.000981008,0.000981008,0.000981008
21,258.72,1.17988,0.66797,1.18249,0.94466,0.98765,0.98395,0.63648,1.24242,0.60078,1.17505,0.00095743,0.00095743,0.00095743
22,268.61,1.17043,0.64619,1.17761,0.96058,0.97531,0.98845,0.63113,1.30071,0.52858,1.18556,0.000933851,0.000933851,0.000933851
23,279.94,1.18546,0.65592,1.16714,0.94288,0.99082,0.98333,0.64502,1.25423,0.56021,1.17143,0.000910273,0.000910273,0.000910273
24,291.865,1.18176,0.64517,1.18163,0.905,1,0.97518,0.62055,1.29798,0.62331,1.18501,0.000886694,0.000886694,0.000886694
25,302.562,1.12525,0.63093,1.15134,0.95732,0.97396,0.98714,0.64244,1.25641,0.56332,1.17274,0.000863116,0.000863116,0.000863116
26,313.388,1.13106,0.61729,1.14911,0.93285,0.99756,0.9762,0.65661,1.19108,0.54496,1.15109,0.000839537,0.000839537,0.000839537
27,324.251,1.10352,0.59068,1.13889,0.95188,1,0.98267,0.65149,1.26186,0.55333,1.16762,0.000815959,0.000815959,0.000815959
28,336.231,1.16699,0.62616,1.19542,0.95673,1,0.97925,0.64875,1.26056,0.54138,1.17459,0.00079238,0.00079238,0.00079238
